sequence,repeat,cutoff,candidate_count,elapsed_ns,elapsed_ms
1545,2,10,10,205305201,205.305201
1546,2,50,50,1048102445,1048.102445
1547,2,20,20,413477792,413.477792
1548,2,30,30,635757976,635.757976
1549,2,10,10,194500343,194.500343
1550,2,20,20,389106806,389.106806
1551,2,50,50,1070643010,1070.643010
1552,2,30,30,643940295,643.940295
1553,2,50,50,1055169164,1055.169164
1554,2,30,30,633363607,633.363607
1555,2,10,10,206104982,206.104982
1556,2,20,20,426968647,426.968647
1557,2,50,50,1075193892,1075.193892
1558,2,10,10,199217530,199.217530
1559,2,20,20,433480418,433.480418
1560,2,30,30,642580052,642.580052
1561,2,10,10,205291674,205.291674
1562,2,50,50,1071663987,1071.663987
1563,2,30,30,642928750,642.928750
1564,2,20,20,433983068,433.983068
1565,2,50,50,1030534846,1030.534846
1566,2,30,30,620714582,620.714582
1567,2,20,20,408859899,408.859899
1568,2,10,10,185325596,185.325596
1569,2,30,30,693764759,693.764759
1570,2,50,50,1148216544,1148.216544
1571,2,20,20,430845324,430.845324
1572,2,10,10,193364795,193.364795
1573,2,20,20,432097963,432.097963
1574,2,30,30,647275315,647.275315
1575,2,10,10,222301493,222.301493
1576,2,50,50,1079891046,1079.891046
1577,2,30,30,685540258,685.540258
1578,2,20,20,458421609,458.421609
1579,2,50,50,1120632391,1120.632391
1580,2,10,10,228519868,228.519868
1581,2,10,10,216924756,216.924756
1582,2,30,30,629608443,629.608443
1583,2,50,50,1039168475,1039.168475
1584,2,20,20,427012086,427.012086
1585,2,10,10,215925637,215.925637
1586,2,20,20,420252105,420.252105
1587,2,50,50,1064024937,1064.024937
1588,2,30,30,626298485,626.298485
1589,2,50,50,1101301050,1101.301050
1590,2,10,10,216163016,216.163016
1591,2,30,30,641685695,641.685695
1592,2,20,20,433418677,433.418677
1593,2,30,30,675370139,675.370139
1594,2,20,20,448155959,448.155959
1595,2,50,50,1118987036,1118.987036
1596,2,10,10,229245910,229.245910
1597,2,30,30,644362205,644.362205
1598,2,20,20,432176578,432.176578
1599,2,10,10,219638797,219.638797
1600,2,50,50,1106126370,1106.126370
1601,2,20,20,404267684,404.267684
1602,2,10,10,200583391,200.583391
1603,2,50,50,1037910932,1037.910932
1604,2,30,30,602310510,602.310510
1605,2,10,10,187490087,187.490087
1606,2,30,30,598791017,598.791017
1607,2,20,20,400434367,400.434367
1608,2,50,50,1108930610,1108.930610
1609,2,30,30,616640181,616.640181
1610,2,10,10,197070539,197.070539
1611,2,20,20,413096995,413.096995
1612,2,50,50,1044568457,1044.568457
1613,2,30,30,622086949,622.086949
1614,2,50,50,1022867498,1022.867498
1615,2,20,20,410785415,410.785415
1616,2,10,10,195761093,195.761093
1617,2,10,10,192783994,192.783994
1618,2,50,50,1026567592,1026.567592
1619,2,20,20,403796751,403.796751
1620,2,30,30,618592802,618.592802
1621,2,50,50,1062015028,1062.015028
1622,2,30,30,637099640,637.099640
1623,2,10,10,198557440,198.557440
1624,2,20,20,427075331,427.075331
