qid,doc_id,pair_tokens,over_512,over_1024
fns-87dfebff1d14696f4da6e901b4633b7b0e7ba7c16ca7f5f2004e9ed8dd665408,nk-1-article-45-chunk-005,785,true,false
fns-88626f9510d3ef5dfcf9f069c7618f38b4d6683f1d3cf65e101d19263e3a6b93,nk-2-article-170-chunk-001,837,true,false
fns-8a216b5cedb5c5a1accb7add2e3425d98db4ba66d31a9e036a3b8c26d417c328,nk-1-article-122-chunk-001,475,false,false
fns-8b97bdff7bb1f75a30a0c4845d02e1cf94b8bbb8a7dbb3f120f548b28807f499,nk-2-article-346.45-chunk-002,729,true,false
fns-8b97bdff7bb1f75a30a0c4845d02e1cf94b8bbb8a7dbb3f120f548b28807f499,nk-2-article-346.45-chunk-004,653,true,false
fns-8b97bdff7bb1f75a30a0c4845d02e1cf94b8bbb8a7dbb3f120f548b28807f499,nk-2-article-346.49-chunk-001,221,false,false
fns-8bab1d3e5e389fda9c9505a0e5be1d3ef0bac7efa46911bb2c22040628bfb42b,nk-1-article-105.24-chunk-001,500,false,false
fns-8d3a4459abf253ef77c7f454ace27d07653e691b6ae80af44580dc73046afcb8,nk-1-article-76-chunk-002,844,true,false
fns-8ee60dc2e017dd3811e7b87151d291538d54ee3f47bb7a071d77d0092ab57757,nk-2-article-346.1-chunk-001,692,true,false
fns-8ee60dc2e017dd3811e7b87151d291538d54ee3f47bb7a071d77d0092ab57757,nk-2-article-346.3-chunk-001,794,true,false
fns-8fc7765e5b3c61f4aae9ee1d834a70d0432cb53508ec2a9d752c83904e10fd33,nk-1-article-100-chunk-002,641,true,false
fns-9550df439b2e0d22847beb0bd8ed1b9a36ee31b699a6f8bc45a0440e28a9dded,nk-2-article-346.5-chunk-009,283,false,false
fns-986e48b64ffc9edbc5d576c142249606eeeed8ae8c9fbd0ff380f981d62f22e5,nk-2-article-346.43-chunk-001,941,true,false
fns-986e48b64ffc9edbc5d576c142249606eeeed8ae8c9fbd0ff380f981d62f22e5,nk-2-article-346.43-chunk-006,911,true,false
fns-9cb8eac2ac7810f26eb1aa6da4570cce5b444b2db1faca9ddad749e102aff38c,nk-2-article-346.3-chunk-001,785,true,false
fns-9f7c73ff9aedbab567320e8fe0326f08409a10c7f59eb817d0ba4b8c3f57b8b9,nk-2-article-164-chunk-014,840,true,false
fns-a24c289c33e3ad278451e308f9a4d8db2ad234954e18f84c17bf39421e84f727,nk-1-article-105.19-chunk-001,457,false,false
fns-a4ac8c546da6db5bd98b1c15c8c709583d7253584f302e17ca1df1e1ecbba785,nk-1-article-72-chunk-001,455,false,false
fns-af450f9c6af913778f289f21831a3e6624a43896a171e2e51cbcdcef45f347b7,nk-2-article-346.6-chunk-003,470,false,false
fns-b0f7978700598a5e0930215f7927636c0ab09f89db6c2a81fd1ce65c9554a7fd,nk-2-article-273-chunk-002,686,true,false
fns-b163af1bd95f39c0916384c7e99615b96a3d50e05d182e141a02a4269d04a618,nk-1-article-45-chunk-004,725,true,false
fns-b163af1bd95f39c0916384c7e99615b96a3d50e05d182e141a02a4269d04a618,nk-1-article-58-chunk-001,858,true,false
fns-b18bdf62dbbe196b681decd895729cce1705d863771a4e50ed8b217b7ef8fa43,nk-2-article-254-chunk-001,848,true,false
fns-b49e3b84fc2159fd448e385475fd22d2adebe0c4609a19efb0f43a79c8de2744,nk-2-article-287-chunk-001,849,true,false
fns-b6438b0229806ba37ac06271431bf02019b4204d65b70dfc55e86722a0686b07,nk-1-article-89-chunk-004,801,true,false
fns-b6af0f84d14b9809ba0fa957f3397c01dbb58e58dc43bfa26426137985a38781,nk-2-article-217-chunk-014,894,true,false
fns-b99595f49cb9352118af22234ba107477760f9483f30303c34a8871f27d9bbc2,nk-2-article-204-chunk-003,949,true,false
fns-be43195e0fef5971193b5ee98320cc640fb3c6165c948ad2b526f86b14668825,nk-2-article-381-chunk-001,792,true,false
fns-bfe96545fd313edfc70139554e99fa83f270450c6aae5e964b179def9167581b,nk-2-article-346.13-chunk-001,815,true,false
fns-c317b966da3315446d2193d920a0d3b71d6fde08366b75106a2975c5c7912696,nk-2-article-346.48-chunk-001,252,false,false
fns-cc5af7ba33e22fbf53d7055e16baca1dca71d5241e68ee76e84183b9af9e7294,nk-1-article-39-chunk-001,738,true,false
fns-ce236d2aaf1a91e25cdf020862ef8fe3bfc95f9766a3d9717f04e01e3dc1efa7,nk-1-article-11.2-chunk-001,868,true,false
fns-d06a111c27646d9083f1566270df29abaf4b93b1efe323e6bb8dce1dc717c5d7,nk-1-article-105.5-chunk-001,912,true,false
fns-d273f5da8f34f98cedfbd10e1890048f61abc77f021baaaded964409088b399c,nk-2-article-430-chunk-002,806,true,false
fns-d428aab9a08df165b728a3f5d62c5d414b67ff33abba4d7709fc435eadad41a3,nk-2-article-145-chunk-005,858,true,false
fns-d428aab9a08df165b728a3f5d62c5d414b67ff33abba4d7709fc435eadad41a3,nk-2-article-246.1-chunk-002,271,false,false
fns-d8bc09fb979482e587d30923469d93ac073db0fe04253869c7d6f9a37c1f2c3c,nk-1-article-105.22-chunk-001,817,true,false
fns-d98f563194fc16dbae044724269732a3f6f9f8753f7dbf894abddec9929b197f,nk-1-article-105.17-chunk-003,858,true,false
fns-dd489fad40ad455dd6c957194380e6322b28fa3b467937d0e4885563530aea00,nk-1-article-105.1-chunk-002,620,true,false
fns-e07306bad6e35f19bdf0bce8a5ed0d10fd1c54b25e37a362fe4cd76e4ea5c27f,nk-1-article-76-chunk-002,800,true,false
fns-e0e2181bfa733175c4e3b0e94d9b41d2d2407e4ddd539a1556c07b4bf30c64ec,nk-2-article-219-chunk-001,842,true,false
fns-e8eec2cf0946d95de22427361d405e74fb34affabee789032920842d7ee282ba,nk-2-article-309-chunk-002,887,true,false
fns-ea83f01e27ec27b0e5b7bba0febc3e712d8eb4ef5c12b414f7090246f9dc7b77,nk-2-article-403-chunk-002,613,true,false
fns-ea83f01e27ec27b0e5b7bba0febc3e712d8eb4ef5c12b414f7090246f9dc7b77,nk-2-article-407-chunk-004,657,true,false
fns-fd78cf24f12036106a2f3e8095febe17368aebfb7dcce32ade6a9de3d67b86fe,nk-1-article-58-chunk-001,850,true,false
fns-fe976834d63039b3f43015ec0d9a7ea96183c0d5c99e981ae7580b61a1d1af69,nk-2-article-382-chunk-001,824,true,false
fns-ff6e6c307494a034b8477de7550c9e95ddc53a29d90dbb6eff3a23850d8dabb2,nk-2-article-251-chunk-002,712,true,false
fns-ff6e6c307494a034b8477de7550c9e95ddc53a29d90dbb6eff3a23850d8dabb2,nk-2-article-346.15-chunk-001,719,true,false
